unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774627257.081,2026-03-27T16:00:57,0,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,1,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,2,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,3,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,4,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,5,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,6,NVIDIA H200,4,143771,0.0028
1774627257.081,2026-03-27T16:00:57,7,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,0,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,1,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,2,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,3,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,4,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,5,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,6,NVIDIA H200,4,143771,0.0028
1774627258.081,2026-03-27T16:00:58,7,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,0,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,1,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,2,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,3,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,4,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,5,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,6,NVIDIA H200,4,143771,0.0028
1774627259.081,2026-03-27T16:00:59,7,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,0,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,1,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,2,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,3,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,4,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,5,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,6,NVIDIA H200,4,143771,0.0028
1774627260.082,2026-03-27T16:01:00,7,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,0,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,1,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,2,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,3,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,4,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,5,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,6,NVIDIA H200,4,143771,0.0028
1774627261.083,2026-03-27T16:01:01,7,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,0,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,1,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,2,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,3,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,4,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,5,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,6,NVIDIA H200,4,143771,0.0028
1774627262.084,2026-03-27T16:01:02,7,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,0,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,1,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,2,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,3,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,4,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,5,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,6,NVIDIA H200,4,143771,0.0028
1774627263.085,2026-03-27T16:01:03,7,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,0,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,1,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,2,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,3,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,4,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,5,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,6,NVIDIA H200,4,143771,0.0028
1774627264.086,2026-03-27T16:01:04,7,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,0,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,1,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,2,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,3,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,4,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,5,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,6,NVIDIA H200,4,143771,0.0028
1774627265.086,2026-03-27T16:01:05,7,NVIDIA H200,4,143771,0.0028
1774627266.087,2026-03-27T16:01:06,0,NVIDIA H200,4,143771,0.0028
1774627266.087,2026-03-27T16:01:06,1,NVIDIA H200,4,143771,0.0028
1774627266.087,2026-03-27T16:01:06,2,NVIDIA H200,4,143771,0.0028
1774627266.087,2026-03-27T16:01:06,3,NVIDIA H200,4,143771,0.0028
1774627266.087,2026-03-27T16:01:06,4,NVIDIA H200,4,143771,0.0028
