unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774624392.249,2026-03-27T15:13:12,0,NVIDIA H200,4,143771,0.0028
1774624392.249,2026-03-27T15:13:12,1,NVIDIA H200,4,143771,0.0028
1774624392.249,2026-03-27T15:13:12,2,NVIDIA H200,4,143771,0.0028
1774624392.249,2026-03-27T15:13:12,3,NVIDIA H200,4,143771,0.0028
1774624392.249,2026-03-27T15:13:12,4,NVIDIA H200,1,143771,0.0007
1774624392.249,2026-03-27T15:13:12,5,NVIDIA H200,1,143771,0.0007
1774624392.249,2026-03-27T15:13:12,6,NVIDIA H200,1,143771,0.0007
1774624392.249,2026-03-27T15:13:12,7,NVIDIA H200,1,143771,0.0007
1774624393.250,2026-03-27T15:13:13,0,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,1,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,2,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,3,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,4,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,5,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,6,NVIDIA H200,4,143771,0.0028
1774624393.250,2026-03-27T15:13:13,7,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,0,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,1,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,2,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,3,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,4,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,5,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,6,NVIDIA H200,4,143771,0.0028
1774624394.251,2026-03-27T15:13:14,7,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,0,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,1,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,2,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,3,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,4,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,5,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,6,NVIDIA H200,4,143771,0.0028
1774624395.252,2026-03-27T15:13:15,7,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,0,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,1,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,2,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,3,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,4,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,5,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,6,NVIDIA H200,4,143771,0.0028
1774624396.253,2026-03-27T15:13:16,7,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,0,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,1,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,2,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,3,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,4,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,5,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,6,NVIDIA H200,4,143771,0.0028
1774624397.253,2026-03-27T15:13:17,7,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,0,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,1,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,2,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,3,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,4,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,5,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,6,NVIDIA H200,4,143771,0.0028
1774624398.254,2026-03-27T15:13:18,7,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,0,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,1,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,2,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,3,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,4,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,5,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,6,NVIDIA H200,4,143771,0.0028
1774624399.255,2026-03-27T15:13:19,7,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,0,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,1,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,2,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,3,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,4,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,5,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,6,NVIDIA H200,4,143771,0.0028
1774624400.256,2026-03-27T15:13:20,7,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,0,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,1,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,2,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,3,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,4,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,5,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,6,NVIDIA H200,4,143771,0.0028
1774624401.257,2026-03-27T15:13:21,7,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,0,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,1,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,2,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,3,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,4,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,5,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,6,NVIDIA H200,4,143771,0.0028
1774624402.258,2026-03-27T15:13:22,7,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,0,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,1,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,2,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,3,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,4,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,5,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,6,NVIDIA H200,4,143771,0.0028
1774624403.259,2026-03-27T15:13:23,7,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,0,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,1,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,2,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,3,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,4,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,5,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,6,NVIDIA H200,4,143771,0.0028
1774624404.259,2026-03-27T15:13:24,7,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,0,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,1,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,2,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,3,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,4,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,5,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,6,NVIDIA H200,4,143771,0.0028
1774624405.260,2026-03-27T15:13:25,7,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,0,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,1,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,2,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,3,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,4,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,5,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,6,NVIDIA H200,4,143771,0.0028
1774624406.261,2026-03-27T15:13:26,7,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,0,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,1,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,2,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,3,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,4,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,5,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,6,NVIDIA H200,4,143771,0.0028
1774624407.262,2026-03-27T15:13:27,7,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,0,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,1,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,2,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,3,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,4,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,5,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,6,NVIDIA H200,4,143771,0.0028
1774624408.263,2026-03-27T15:13:28,7,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,0,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,1,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,2,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,3,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,4,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,5,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,6,NVIDIA H200,4,143771,0.0028
1774624409.263,2026-03-27T15:13:29,7,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,0,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,1,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,2,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,3,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,4,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,5,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,6,NVIDIA H200,4,143771,0.0028
1774624410.264,2026-03-27T15:13:30,7,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,0,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,1,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,2,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,3,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,4,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,5,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,6,NVIDIA H200,4,143771,0.0028
1774624411.265,2026-03-27T15:13:31,7,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,0,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,1,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,2,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,3,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,4,NVIDIA H200,4,143771,0.0028
1774624412.266,2026-03-27T15:13:32,5,NVIDIA H200,4,143771,0.0028
