unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774626032.601,2026-03-27T15:40:32,0,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,1,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,2,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,3,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,4,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,5,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,6,NVIDIA H200,1,143771,0.0007
1774626032.601,2026-03-27T15:40:32,7,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,0,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,1,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,2,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,3,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,4,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,5,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,6,NVIDIA H200,1,143771,0.0007
1774626033.602,2026-03-27T15:40:33,7,NVIDIA H200,1,143771,0.0007
1774626034.603,2026-03-27T15:40:34,0,NVIDIA H200,4,143771,0.0028
1774626034.603,2026-03-27T15:40:34,1,NVIDIA H200,4,143771,0.0028
1774626034.603,2026-03-27T15:40:34,2,NVIDIA H200,4,143771,0.0028
1774626034.603,2026-03-27T15:40:34,3,NVIDIA H200,4,143771,0.0028
1774626034.603,2026-03-27T15:40:34,4,NVIDIA H200,4,143771,0.0028
1774626034.603,2026-03-27T15:40:34,5,NVIDIA H200,1,143771,0.0007
1774626034.603,2026-03-27T15:40:34,6,NVIDIA H200,1,143771,0.0007
1774626034.603,2026-03-27T15:40:34,7,NVIDIA H200,1,143771,0.0007
1774626035.604,2026-03-27T15:40:35,0,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,1,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,2,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,3,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,4,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,5,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,6,NVIDIA H200,4,143771,0.0028
1774626035.604,2026-03-27T15:40:35,7,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,0,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,1,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,2,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,3,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,4,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,5,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,6,NVIDIA H200,4,143771,0.0028
1774626036.604,2026-03-27T15:40:36,7,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,0,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,1,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,2,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,3,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,4,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,5,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,6,NVIDIA H200,4,143771,0.0028
1774626037.605,2026-03-27T15:40:37,7,NVIDIA H200,4,143771,0.0028
