unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774628451.362,2026-03-27T16:20:51,0,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,1,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,2,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,3,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,4,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,5,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,6,NVIDIA H200,4,143771,0.0028
1774628451.362,2026-03-27T16:20:51,7,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,0,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,1,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,2,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,3,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,4,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,5,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,6,NVIDIA H200,4,143771,0.0028
1774628452.363,2026-03-27T16:20:52,7,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,0,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,1,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,2,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,3,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,4,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,5,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,6,NVIDIA H200,4,143771,0.0028
1774628453.364,2026-03-27T16:20:53,7,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,0,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,1,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,2,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,3,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,4,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,5,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,6,NVIDIA H200,4,143771,0.0028
1774628454.365,2026-03-27T16:20:54,7,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,0,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,1,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,2,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,3,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,4,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,5,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,6,NVIDIA H200,4,143771,0.0028
1774628455.365,2026-03-27T16:20:55,7,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,0,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,1,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,2,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,3,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,4,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,5,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,6,NVIDIA H200,4,143771,0.0028
1774628456.366,2026-03-27T16:20:56,7,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,0,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,1,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,2,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,3,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,4,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,5,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,6,NVIDIA H200,4,143771,0.0028
1774628457.368,2026-03-27T16:20:57,7,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,0,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,1,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,2,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,3,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,4,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,5,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,6,NVIDIA H200,4,143771,0.0028
1774628458.369,2026-03-27T16:20:58,7,NVIDIA H200,4,143771,0.0028
1774628459.369,2026-03-27T16:20:59,0,NVIDIA H200,4,143771,0.0028
1774628459.369,2026-03-27T16:20:59,1,NVIDIA H200,4,143771,0.0028
1774628459.369,2026-03-27T16:20:59,2,NVIDIA H200,4,143771,0.0028
